variavel,coef_padronizado,erro_padrao,t,p_valor
(intercepto),0.3413755571918403,0.003872770430675126,88.1476357307163,0.0
Obter informação,0.00867480389065614,0.005631098557131922,1.5405171482337652,0.12379140157388879
Analisar dados,-0.03655856040808391,0.00803309968244164,-4.550990508432485,6.083926343380952e-06
Processar informação,0.03130197554409933,0.00797337941993867,3.925810361642128,9.31419907079789e-05
Documentar informação,-0.008958343215003155,0.006087039383638128,-1.4717077794967204,0.1414548967858087
Trabalhar com computadores,0.1041657607256408,0.007295212297978898,14.27864693594995,0.0
Atividade física geral,-0.03637946932006562,0.009331496701046663,-3.898567452312889,0.00010406722906775023
Manusear objetos,-0.07333671812392258,0.009025632206531624,-8.125382958863606,1.5543122344752192e-15
